Algoritmo,N_validas,N_falhas,Media_s,Mediana_s,Min_s,Max_s,DesvioPadrao_s,IC95_s,CV_percent
chacha20,50,0,0.00576175732,0.005751444,0.005713408,0.006020037,4.9578923843578385e-05,1.4093152487997724e-05,0.8604826807175973
enocoro,50,0,0.01751804796,0.0175047775,0.017430537,0.017710165,6.138900709176418e-05,1.7450250448367995e-05,0.35043292056248126
rabbit,50,0,0.00430005626,0.004291759,0.004241333,0.004404685,4.1797730767331914e-05,1.1881294463243575e-05,0.9720275326660939
trivium,50,0,0.0016700585,0.001670676,0.001643815,0.001743907,2.6020058661442293e-05,7.396381890403797e-06,1.5580327672020047
